timestamp,temperature,humidity,wind_speed,cloud_cover,solar_irradiance,residential_load_MW,commercial_load_MW,industrial_load_MW,critical_load_MW,solar_MW,wind_MW
2019-01-01 00:00,34.9,89.04,1.55,46.45,0.0,0.709,0.089,0.266,0.4,0.0,0.0
2019-01-01 01:00,35.62,90.42,2.51,46.93,0.0,0.536,0.089,0.268,0.4,0.0,0.0
2019-01-01 02:00,34.86,83.92,2.58,43.91,0.0,0.526,0.088,0.263,0.4,0.0,0.0
2019-01-01 03:00,34.74,83.29,1.38,47.29,0.0,0.525,0.088,0.263,0.4,0.0,0.0
2019-01-01 04:00,33.18,86.3,2.0,44.07,0.0,0.694,0.087,0.39,0.4,0.0,0.0
2019-01-01 05:00,32.93,91.16,1.06,40.7,0.0,0.873,0.175,0.786,0.4,0.0,0.0
2019-01-01 06:00,35.13,85.23,1.03,46.27,561.01,1.234,0.353,1.058,0.4,0.0,0.0
2019-01-01 07:00,36.13,88.23,1.71,42.64,477.8,1.431,0.626,1.207,0.4,0.11,0.0
2019-01-01 08:00,34.29,85.95,2.8,40.79,542.61,1.226,0.788,1.314,0.4,0.246,0.0
2019-01-01 09:00,33.0,90.25,2.54,39.88,545.38,1.047,0.872,1.309,0.4,0.352,0.0
2019-01-01 10:00,32.51,87.54,2.71,41.25,535.39,0.864,0.864,1.296,0.4,0.419,0.0
2019-01-01 11:00,32.65,84.89,1.45,41.78,514.64,0.861,0.861,1.292,0.4,0.447,0.0
2019-01-01 12:00,33.49,84.2,2.18,42.58,523.88,0.867,0.867,1.3,0.4,0.468,0.0
2019-01-01 13:00,33.94,92.15,2.48,42.9,553.82,0.883,0.883,1.324,0.4,0.477,0.0
2019-01-01 14:00,34.49,88.16,2.21,45.86,475.33,1.057,0.881,1.321,0.4,0.358,0.0
2019-01-01 15:00,35.5,84.21,1.29,41.48,485.11,1.236,0.794,1.324,0.4,0.309,0.0
2019-01-01 16:00,33.2,92.06,1.38,39.89,484.65,1.403,0.702,1.315,0.4,0.221,0.0
2019-01-01 17:00,33.13,87.58,1.59,47.18,486.33,1.564,0.608,1.173,0.4,0.108,0.0
2019-01-01 18:00,33.82,88.93,1.01,39.87,533.17,1.754,0.438,1.052,0.4,0.0,0.0
2019-01-01 19:00,33.07,89.89,1.23,41.74,0.0,1.57,0.262,0.785,0.4,0.0,0.0
2019-01-01 20:00,32.44,87.26,2.45,39.95,0.0,1.381,0.173,0.518,0.4,0.0,0.0
2019-01-01 21:00,34.54,89.77,1.45,45.33,0.0,1.237,0.088,0.398,0.4,0.0,0.0
2019-01-01 22:00,35.67,89.37,2.38,47.98,0.0,1.071,0.089,0.268,0.4,0.0,0.0
2019-01-01 23:00,35.99,87.56,2.06,46.3,0.0,0.892,0.089,0.268,0.4,0.0,0.0
2019-01-02 00:00,29.39,80.51,1.22,73.99,0.0,0.662,0.083,0.248,0.4,0.0,0.0
2019-01-02 01:00,31.81,84.12,1.73,72.38,0.0,0.512,0.085,0.256,0.4,0.0,0.0
2019-01-02 02:00,28.95,85.21,1.59,80.64,0.0,0.499,0.083,0.25,0.4,0.0,0.0
2019-01-02 03:00,28.4,82.92,1.9,77.77,0.0,0.494,0.082,0.247,0.4,0.0,0.0
2019-01-02 04:00,29.91,84.64,1.35,74.81,0.0,0.671,0.084,0.377,0.4,0.0,0.0
2019-01-02 05:00,30.34,79.28,1.37,78.17,0.0,0.834,0.167,0.75,0.4,0.0,0.0
2019-01-02 06:00,31.93,80.87,2.77,73.81,577.13,1.188,0.34,1.019,0.4,0.0,0.0
2019-01-02 07:00,28.77,78.65,1.76,73.26,561.13,1.312,0.574,1.107,0.4,0.098,0.0
2019-01-02 08:00,28.87,84.23,1.5,77.73,628.51,1.162,0.747,1.245,0.4,0.201,0.0
2019-01-02 09:00,31.86,77.57,2.55,71.64,556.49,1.012,0.843,1.265,0.4,0.269,0.0
2019-01-02 10:00,31.23,79.09,1.14,78.27,615.48,0.84,0.84,1.261,0.4,0.339,0.0
2019-01-02 11:00,30.87,78.2,1.64,72.68,597.49,0.836,0.836,1.254,0.4,0.391,0.0
2019-01-02 12:00,28.97,85.05,1.58,72.86,586.46,0.832,0.832,1.248,0.4,0.396,0.0
2019-01-02 13:00,30.21,78.88,0.92,78.48,584.74,0.832,0.832,1.248,0.4,0.359,0.0
2019-01-02 14:00,31.89,76.87,2.16,80.66,622.34,1.01,0.842,1.263,0.4,0.334,0.0
2019-01-02 15:00,29.22,82.23,0.94,71.88,608.26,1.161,0.746,1.244,0.4,0.294,0.0
2019-01-02 16:00,29.13,84.72,1.59,80.0,600.56,1.332,0.666,1.249,0.4,0.187,0.0
2019-01-02 17:00,30.18,85.41,1.45,76.48,606.5,1.516,0.589,1.137,0.4,0.102,0.0
2019-01-02 18:00,31.39,85.97,2.19,76.8,545.33,1.705,0.426,1.023,0.4,0.0,0.0
2019-01-02 19:00,31.92,85.54,1.63,75.1,0.0,1.541,0.257,0.771,0.4,0.0,0.0
2019-01-02 20:00,29.79,81.19,1.3,77.45,0.0,1.331,0.166,0.499,0.4,0.0,0.0
2019-01-02 21:00,28.95,82.36,1.74,70.85,0.0,1.158,0.083,0.372,0.4,0.0,0.0
2019-01-02 22:00,30.99,79.96,2.34,77.49,0.0,1.008,0.084,0.252,0.4,0.0,0.0
2019-01-02 23:00,28.45,77.88,0.8,74.53,0.0,0.816,0.082,0.245,0.4,0.0,0.0
2019-01-03 00:00,32.86,89.01,1.57,81.74,0.0,0.695,0.087,0.261,0.4,0.0,0.0
2019-01-03 01:00,33.95,85.99,2.71,80.41,0.0,0.524,0.087,0.262,0.4,0.0,0.0
2019-01-03 02:00,31.26,88.39,1.83,81.94,0.0,0.513,0.086,0.257,0.4,0.0,0.0
2019-01-03 03:00,32.81,86.66,1.24,81.86,0.0,0.519,0.087,0.26,0.4,0.0,0.0
2019-01-03 04:00,31.42,87.97,1.69,80.36,0.0,0.685,0.086,0.385,0.4,0.0,0.0
2019-01-03 05:00,33.89,80.9,2.7,73.98,0.0,0.865,0.173,0.778,0.4,0.0,0.0
2019-01-03 06:00,31.33,90.53,1.91,74.91,705.37,1.203,0.344,1.031,0.4,0.0,0.0
2019-01-03 07:00,33.18,88.99,1.58,74.02,705.01,1.395,0.61,1.177,0.4,0.122,0.0
2019-01-03 08:00,33.53,87.12,2.51,78.72,636.04,1.22,0.784,1.307,0.4,0.201,0.0
2019-01-03 09:00,32.22,89.03,2.85,81.3,701.32,1.037,0.864,1.296,0.4,0.305,0.0
2019-01-03 10:00,32.37,83.5,2.63,80.78,632.45,0.857,0.857,1.285,0.4,0.339,0.0
2019-01-03 11:00,34.12,83.02,2.38,78.39,697.0,0.87,0.87,1.305,0.4,0.428,0.0
2019-01-03 12:00,32.57,88.11,1.51,79.07,712.4,0.866,0.866,1.298,0.4,0.449,0.0
2019-01-03 13:00,32.8,89.61,1.57,77.8,716.28,0.87,0.87,1.305,0.4,0.443,0.0
2019-01-03 14:00,30.51,87.05,1.58,77.01,683.88,1.017,0.847,1.271,0.4,0.382,0.0
2019-01-03 15:00,31.53,80.99,2.58,81.6,651.15,1.184,0.761,1.269,0.4,0.282,0.0
2019-01-03 16:00,33.06,80.92,3.15,76.89,698.68,1.373,0.686,1.287,0.4,0.226,0.0
2019-01-03 17:00,31.42,86.47,1.92,80.64,713.92,1.537,0.598,1.153,0.4,0.114,0.0
2019-01-03 18:00,30.81,80.95,2.05,73.01,698.91,1.68,0.42,1.008,0.4,0.0,0.0
2019-01-03 19:00,30.52,88.82,2.8,73.14,0.0,1.53,0.255,0.765,0.4,0.0,0.0
2019-01-03 20:00,30.79,86.03,2.38,75.45,0.0,1.357,0.17,0.509,0.4,0.0,0.0
2019-01-03 21:00,31.31,82.58,2.69,72.73,0.0,1.185,0.085,0.381,0.4,0.0,0.0
2019-01-03 22:00,31.47,83.87,1.3,81.94,0.0,1.02,0.085,0.255,0.4,0.0,0.0
2019-01-03 23:00,31.0,83.13,1.71,82.26,0.0,0.845,0.085,0.254,0.4,0.0,0.0
2019-01-04 00:00,28.71,95.64,3.24,54.82,0.0,0.677,0.085,0.254,0.4,0.0,0.0
2019-01-04 01:00,26.92,94.77,1.67,46.63,0.0,0.504,0.084,0.252,0.4,0.0,0.0
2019-01-04 02:00,28.17,92.2,2.06,47.23,0.0,0.502,0.084,0.251,0.4,0.0,0.0
2019-01-04 03:00,28.28,97.09,2.66,54.98,0.0,0.507,0.085,0.254,0.4,0.0,0.0
2019-01-04 04:00,29.65,90.17,2.31,53.01,0.0,0.676,0.085,0.38,0.4,0.0,0.0
2019-01-04 05:00,28.55,90.56,2.62,52.91,0.0,0.837,0.167,0.754,0.4,0.0,0.0
2019-01-04 06:00,28.3,91.45,1.67,46.16,543.51,1.171,0.335,1.004,0.4,0.0,0.0
2019-01-04 07:00,26.4,90.31,1.96,47.5,600.3,1.332,0.583,1.124,0.4,0.133,0.0
2019-01-04 08:00,28.31,91.18,3.0,54.17,546.79,1.171,0.753,1.255,0.4,0.221,0.0
2019-01-04 09:00,26.46,90.09,1.78,47.73,599.47,0.999,0.832,1.248,0.4,0.363,0.0
2019-01-04 10:00,28.34,96.81,2.43,47.15,597.2,0.846,0.846,1.268,0.4,0.445,0.0
