timestamp,date,day_name,is_holiday,temp_c,humidity_pct,heat_index_c,P,Q,V,I,PF
2024-01-01 00:00:00,2024-01-01,Workday,False,22.44,69.9,22.56,869.81,386.19,0.99,50.45,0.914
2024-01-01 00:15:00,2024-01-01,Workday,False,22.44,69.9,22.56,839.93,405.05,0.9926,49.31,0.901
2024-01-01 00:30:00,2024-01-01,Workday,False,22.44,69.9,22.56,807.08,378.15,0.9931,47.11,0.906
2024-01-01 00:45:00,2024-01-01,Workday,False,22.44,69.9,22.56,849.04,386.84,0.9911,49.41,0.91
2024-01-01 01:00:00,2024-01-01,Workday,False,21.14,69.4,21.12,760.02,380.34,0.9886,45.12,0.894
2024-01-01 01:15:00,2024-01-01,Workday,False,21.14,69.4,21.12,782.71,376.57,0.9887,46.11,0.901
2024-01-01 01:30:00,2024-01-01,Workday,False,21.14,69.4,21.12,771.64,341.67,0.9919,44.66,0.914
2024-01-01 01:45:00,2024-01-01,Workday,False,21.14,69.4,21.12,747.67,371.66,0.9906,44.24,0.895
2024-01-01 02:00:00,2024-01-01,Workday,False,20.89,73.8,20.96,768.16,294.72,0.9899,43.62,0.934
2024-01-01 02:15:00,2024-01-01,Workday,False,20.89,73.8,20.96,779.78,354.66,0.9892,45.45,0.91
2024-01-01 02:30:00,2024-01-01,Workday,False,20.89,73.8,20.96,805.15,365.67,0.99,46.88,0.91
2024-01-01 02:45:00,2024-01-01,Workday,False,20.89,73.8,20.96,805.79,360.55,0.9882,46.89,0.913
2024-01-01 03:00:00,2024-01-01,Workday,False,19.77,74.9,19.76,810.48,359.69,0.9932,46.86,0.914
2024-01-01 03:15:00,2024-01-01,Workday,False,19.77,74.9,19.76,761.9,383.19,0.9893,45.25,0.893
2024-01-01 03:30:00,2024-01-01,Workday,False,19.77,74.9,19.76,771.95,344.13,0.9934,44.66,0.913
2024-01-01 03:45:00,2024-01-01,Workday,False,19.77,74.9,19.76,772.62,369.05,0.988,45.48,0.902
2024-01-01 04:00:00,2024-01-01,Workday,False,19.61,73.4,19.54,886.83,469.95,0.9888,53.27,0.884
2024-01-01 04:15:00,2024-01-01,Workday,False,19.61,73.4,19.54,895.87,430.98,0.99,52.71,0.901
2024-01-01 04:30:00,2024-01-01,Workday,False,19.61,73.4,19.54,862.49,379.93,0.9919,49.87,0.915
2024-01-01 04:45:00,2024-01-01,Workday,False,19.61,73.4,19.54,906.8,440.8,0.9927,53.31,0.899
2024-01-01 05:00:00,2024-01-01,Workday,False,19.99,70.0,19.87,1237.22,628.6,0.9866,73.83,0.892
2024-01-01 05:15:00,2024-01-01,Workday,False,19.99,70.0,19.87,1250.55,610.03,0.9853,74.12,0.899
2024-01-01 05:30:00,2024-01-01,Workday,False,19.99,70.0,19.87,1150.12,513.1,0.9879,66.91,0.913
2024-01-01 05:45:00,2024-01-01,Workday,False,19.99,70.0,19.87,1167.32,561.48,0.9875,68.85,0.901
2024-01-01 06:00:00,2024-01-01,Workday,False,19.9,71.2,19.8,1797.06,824.36,0.9827,105.6,0.909
2024-01-01 06:15:00,2024-01-01,Workday,False,19.9,71.2,19.8,1823.71,822.06,0.9823,106.88,0.912
2024-01-01 06:30:00,2024-01-01,Workday,False,19.9,71.2,19.8,1772.58,833.57,0.9826,104.64,0.905
2024-01-01 06:45:00,2024-01-01,Workday,False,19.9,71.2,19.8,1787.47,824.26,0.9803,105.39,0.908
2024-01-01 07:00:00,2024-01-01,Workday,False,20.91,70.5,20.89,2268.84,1148.62,0.975,136.9,0.892
2024-01-01 07:15:00,2024-01-01,Workday,False,20.91,70.5,20.89,2382.01,992.33,0.9745,138.98,0.923
2024-01-01 07:30:00,2024-01-01,Workday,False,20.91,70.5,20.89,2315.53,1138.52,0.9735,139.11,0.897
2024-01-01 07:45:00,2024-01-01,Workday,False,20.91,70.5,20.89,2257.89,1010.84,0.9741,133.29,0.913
2024-01-01 08:00:00,2024-01-01,Workday,False,21.97,64.0,21.9,2160.49,972.87,0.9768,127.32,0.912
2024-01-01 08:15:00,2024-01-01,Workday,False,21.97,64.0,21.9,2190.54,914.78,0.9779,127.41,0.923
2024-01-01 08:30:00,2024-01-01,Workday,False,21.97,64.0,21.9,2177.55,1054.41,0.9751,130.23,0.9
2024-01-01 08:45:00,2024-01-01,Workday,False,21.97,64.0,21.9,2148.79,916.78,0.9774,125.45,0.92
2024-01-01 09:00:00,2024-01-01,Workday,False,23.89,62.7,23.97,1968.47,788.25,0.9773,113.88,0.928
2024-01-01 09:15:00,2024-01-01,Workday,False,23.89,62.7,23.97,1961.52,814.29,0.9794,113.81,0.924
2024-01-01 09:30:00,2024-01-01,Workday,False,23.89,62.7,23.97,2034.79,934.42,0.9754,120.48,0.909
2024-01-01 09:45:00,2024-01-01,Workday,False,23.89,62.7,23.97,1984.72,861.77,0.9779,116.13,0.917
2024-01-01 10:00:00,2024-01-01,Workday,False,24.77,56.5,24.77,1946.96,859.99,0.9809,113.89,0.915
2024-01-01 10:15:00,2024-01-01,Workday,False,24.77,56.5,24.77,1898.17,914.48,0.9807,112.76,0.901
2024-01-01 10:30:00,2024-01-01,Workday,False,24.77,56.5,24.77,1895.89,795.71,0.9794,110.19,0.922
2024-01-01 10:45:00,2024-01-01,Workday,False,24.77,56.5,24.77,1866.42,730.64,0.9857,106.73,0.931
2024-01-01 11:00:00,2024-01-01,Workday,False,25.88,55.6,25.97,1924.06,776.9,0.9779,111.37,0.927
2024-01-01 11:15:00,2024-01-01,Workday,False,25.88,55.6,25.97,1992.11,784.52,0.9792,114.77,0.93
2024-01-01 11:30:00,2024-01-01,Workday,False,25.88,55.6,25.97,1872.94,806.07,0.979,109.32,0.919
2024-01-01 11:45:00,2024-01-01,Workday,False,25.88,55.6,25.97,1987.66,846.79,0.9775,116.0,0.92
2024-01-01 12:00:00,2024-01-01,Workday,False,26.9,52.6,27.48,1676.87,735.1,0.9833,97.73,0.916
2024-01-01 12:15:00,2024-01-01,Workday,False,26.9,52.6,27.48,1776.44,694.56,0.9839,101.75,0.931
2024-01-01 12:30:00,2024-01-01,Workday,False,26.9,52.6,27.48,1759.7,613.11,0.9798,99.83,0.944
2024-01-01 12:45:00,2024-01-01,Workday,False,26.9,52.6,27.48,1706.13,717.69,0.9819,98.94,0.922
2024-01-01 13:00:00,2024-01-01,Workday,False,28.1,48.1,28.39,1997.11,862.29,0.9763,116.95,0.918
2024-01-01 13:15:00,2024-01-01,Workday,False,28.1,48.1,28.39,1946.34,779.52,0.9803,112.26,0.928
2024-01-01 13:30:00,2024-01-01,Workday,False,28.1,48.1,28.39,1983.3,900.47,0.9808,116.56,0.911
2024-01-01 13:45:00,2024-01-01,Workday,False,28.1,48.1,28.39,2008.0,820.32,0.9789,116.3,0.926
2024-01-01 14:00:00,2024-01-01,Workday,False,28.89,50.0,29.53,2079.67,899.63,0.981,121.23,0.918
2024-01-01 14:15:00,2024-01-01,Workday,False,28.89,50.0,29.53,2074.66,899.32,0.9782,121.32,0.918
2024-01-01 14:30:00,2024-01-01,Workday,False,28.89,50.0,29.53,2100.99,894.48,0.9754,122.87,0.92
2024-01-01 14:45:00,2024-01-01,Workday,False,28.89,50.0,29.53,2071.18,895.53,0.9805,120.79,0.918
2024-01-01 15:00:00,2024-01-01,Workday,False,29.57,42.7,29.5,2143.67,927.98,0.9771,125.47,0.918
2024-01-01 15:15:00,2024-01-01,Workday,False,29.57,42.7,29.5,2218.63,1099.59,0.9744,133.38,0.896
2024-01-01 15:30:00,2024-01-01,Workday,False,29.57,42.7,29.5,2192.04,969.35,0.972,129.42,0.915
2024-01-01 15:45:00,2024-01-01,Workday,False,29.57,42.7,29.5,2159.81,900.58,0.9791,125.44,0.923
2024-01-01 16:00:00,2024-01-01,Workday,False,29.99,41.9,29.9,2191.7,1010.06,0.9742,130.01,0.908
2024-01-01 16:15:00,2024-01-01,Workday,False,29.99,41.9,29.9,2387.1,1054.73,0.9716,140.99,0.915
2024-01-01 16:30:00,2024-01-01,Workday,False,29.99,41.9,29.9,2268.1,954.06,0.9747,132.5,0.922
2024-01-01 16:45:00,2024-01-01,Workday,False,29.99,41.9,29.9,2281.9,1051.53,0.9747,135.29,0.908
2024-01-01 17:00:00,2024-01-01,Workday,False,29.64,40.9,29.38,2491.04,1165.01,0.9715,148.56,0.906
2024-01-01 17:15:00,2024-01-01,Workday,False,29.64,40.9,29.38,2315.3,1035.71,0.9707,137.14,0.913
2024-01-01 17:30:00,2024-01-01,Workday,False,29.64,40.9,29.38,2491.73,1183.41,0.9724,148.9,0.903
2024-01-01 17:45:00,2024-01-01,Workday,False,29.64,40.9,29.38,2499.02,1216.32,0.9722,150.04,0.899
2024-01-01 18:00:00,2024-01-01,Workday,False,28.68,46.7,28.9,2535.41,1033.63,0.9714,147.93,0.926
2024-01-01 18:15:00,2024-01-01,Workday,False,28.68,46.7,28.9,2409.77,1185.0,0.9749,144.57,0.897
2024-01-01 18:30:00,2024-01-01,Workday,False,28.68,46.7,28.9,2492.11,1082.13,0.9746,146.31,0.917
