timestamp,voltage,current,power_factor,active_power_kw,reactive_power_kvar,kwh_15min
2025-01-01T00:00:00Z,232.67,5.45,0.9525,1.21,0.39,0.3
2025-01-01T00:15:00Z,227.63,5.08,0.9661,1.12,0.3,0.28
2025-01-01T00:30:00Z,230.35,5.23,0.9894,1.19,0.18,0.3
2025-01-01T00:45:00Z,234.27,3.7,0.9789,0.85,0.18,0.21
2025-01-01T01:00:00Z,231.14,3.81,0.9736,0.86,0.2,0.21
2025-01-01T01:15:00Z,230.2,4.09,0.9624,0.91,0.26,0.23
2025-01-01T01:30:00Z,227.17,4.06,0.9822,0.91,0.17,0.23
2025-01-01T01:45:00Z,233.17,4.47,0.9751,1.02,0.23,0.25
2025-01-01T02:00:00Z,233.98,4.75,0.988,1.1,0.17,0.27
2025-01-01T02:15:00Z,226.41,3.91,0.9729,0.86,0.2,0.22
2025-01-01T02:30:00Z,232.81,5.57,0.962,1.25,0.35,0.31
2025-01-01T02:45:00Z,227.9,4.74,0.9517,1.03,0.33,0.26
2025-01-01T03:00:00Z,227.45,5.0,0.955,1.09,0.34,0.27
2025-01-01T03:15:00Z,232.18,4.3,0.9516,0.95,0.31,0.24
2025-01-01T03:30:00Z,232.47,5.31,0.9582,1.18,0.35,0.3
2025-01-01T03:45:00Z,231.89,4.46,0.9824,1.02,0.19,0.25
2025-01-01T04:00:00Z,230.3,4.75,0.9602,1.05,0.31,0.26
2025-01-01T04:15:00Z,225.41,5.15,0.9771,1.13,0.25,0.28
2025-01-01T04:30:00Z,230.0,5.1,0.9599,1.13,0.33,0.28
2025-01-01T04:45:00Z,228.07,3.95,0.9776,0.88,0.19,0.22
2025-01-01T05:00:00Z,225.92,2.65,0.9962,0.6,0.05,0.15
2025-01-01T05:15:00Z,228.38,5.77,0.9775,1.29,0.28,0.32
2025-01-01T05:30:00Z,232.55,5.31,0.9572,1.18,0.36,0.3
2025-01-01T05:45:00Z,232.29,8.25,0.9875,1.89,0.3,0.47
2025-01-01T06:00:00Z,223.89,22.0,0.95,4.76,1.57,1.19
2025-01-01T06:15:00Z,228.37,5.34,0.9591,1.17,0.35,0.29
2025-01-01T06:30:00Z,227.66,20.43,0.9719,4.52,1.1,1.13
2025-01-01T06:45:00Z,230.3,8.28,0.9785,1.87,0.39,0.47
2025-01-01T07:00:00Z,226.28,16.63,0.95,3.58,1.18,0.89
2025-01-01T07:15:00Z,227.01,22.0,0.956,5.0,1.54,1.25
2025-01-01T07:30:00Z,230.12,13.03,0.9623,2.88,0.81,0.72
2025-01-01T07:45:00Z,233.36,12.62,0.95,2.8,0.92,0.7
2025-01-01T08:00:00Z,233.43,13.98,0.9709,3.17,0.78,0.79
2025-01-01T08:15:00Z,167.46,11.49,0.9749,1.87,0.43,0.47
2025-01-01T08:30:00Z,229.73,22.0,0.9702,5.0,1.25,1.25
2025-01-01T08:45:00Z,230.6,8.95,0.9863,2.03,0.34,0.51
2025-01-01T09:00:00Z,226.01,9.87,0.9533,2.13,0.67,0.53
2025-01-01T09:15:00Z,229.89,9.22,0.9562,2.03,0.62,0.51
2025-01-01T09:30:00Z,232.64,9.5,0.9616,2.13,0.61,0.53
