node,device_type,timestamp,V,I,P,Q,kwh
node1,residential,2025-01-01 00:00:00,219.91,0.002,0.42,0.2,0.106
node1,residential,2025-01-01 00:15:00,235.52,0.001,0.27,0.14,0.0666
node1,residential,2025-01-01 00:30:00,225.22,0.001,0.25,0.15,0.0614
node1,residential,2025-01-01 00:45:00,234.95,0.001,0.33,0.16,0.0832
node1,residential,2025-01-01 01:00:00,220.8,0.002,0.39,0.16,0.097
node1,residential,2025-01-01 01:15:00,226.94,0.002,0.49,0.24,0.1217
node1,residential,2025-01-01 01:30:00,219.51,0.001,0.28,0.15,0.0692
node1,residential,2025-01-01 01:45:00,236.47,0.001,0.25,0.14,0.0617
node1,residential,2025-01-01 02:00:00,238.56,0.001,0.35,0.16,0.0887
node1,residential,2025-01-01 02:15:00,233.63,0.001,0.21,0.1,0.0516
node1,residential,2025-01-01 02:30:00,233.2,0.001,0.28,0.12,0.0691
node1,residential,2025-01-01 02:45:00,221.21,0.002,0.41,0.2,0.103
node1,residential,2025-01-01 03:00:00,220.46,0.002,0.4,0.18,0.1011
node1,residential,2025-01-01 03:15:00,231.34,0.001,0.21,0.09,0.0533
node1,residential,2025-01-01 03:30:00,232.62,0.002,0.48,0.24,0.121
node1,residential,2025-01-01 03:45:00,220.16,0.001,0.26,0.14,0.0657
node1,residential,2025-01-01 04:00:00,231.97,0.002,0.43,0.18,0.1076
node1,residential,2025-01-01 04:15:00,239.42,0.001,0.26,0.13,0.066
node1,residential,2025-01-01 04:30:00,228.45,0.002,0.41,0.18,0.1015
node1,residential,2025-01-01 04:45:00,240.09,0.001,0.26,0.15,0.066
node1,residential,2025-01-01 05:00:00,234.32,0.002,0.49,0.23,0.1234
node1,residential,2025-01-01 05:15:00,237.3,0.002,0.39,0.21,0.0978
node1,residential,2025-01-01 05:30:00,234.7,0.001,0.25,0.14,0.0636
node1,residential,2025-01-01 05:45:00,227.42,0.002,0.34,0.18,0.0855
node1,residential,2025-01-01 06:00:00,237.41,0.004,0.98,0.51,0.2442
node1,residential,2025-01-01 06:15:00,227.71,0.004,0.83,0.39,0.2065
node1,residential,2025-01-01 06:30:00,227.48,0.005,1.12,0.57,0.2797
