timestamp,temperature,humidity,wind_speed,cloud_cover,solar_irradiance,residential_load_MW,commercial_load_MW,industrial_load_MW,critical_load_MW,solar_MW,wind_MW
2019-01-01 00:00,34.7,89.59,4.21,46.1,0.0,0.718,0.089,0.277,0.405,0.0,0.00192
2019-01-01 01:00,34.1,90.68,4.2,45.07,0.0,0.526,0.089,0.267,0.398,0.0,0.00189
2019-01-01 02:00,33.22,91.54,4.15,40.7,0.0,0.546,0.087,0.268,0.402,0.0,0.001682
2019-01-01 03:00,35.44,89.81,4.05,40.18,0.0,0.536,0.092,0.267,0.398,0.0,0.001253
2019-01-01 04:00,32.45,92.24,4.17,47.23,0.0,0.669,0.085,0.389,0.404,0.0,0.001742
2019-01-01 05:00,36.15,83.19,4.22,40.88,0.0,0.893,0.176,0.804,0.392,0.0,0.001974
2019-01-01 06:00,34.24,84.2,3.04,41.07,563.74,1.225,0.347,1.022,0.401,0.0,0.0
2019-01-01 07:00,35.51,89.25,4.37,47.69,478.03,1.369,0.621,1.153,0.399,0.106,0.002803
2019-01-01 08:00,35.3,91.59,3.43,46.45,518.69,1.268,0.811,1.329,0.406,0.224,8.6e-05
2019-01-01 09:00,32.24,88.85,4.27,40.77,505.69,1.043,0.864,1.31,0.401,0.324,0.002267
2019-01-01 10:00,32.22,90.86,5.97,47.91,511.42,0.854,0.849,1.295,0.401,0.379,0.028615
2019-01-01 11:00,33.38,90.7,5.67,41.61,560.97,0.928,0.888,1.326,0.413,0.488,0.020941
2019-01-01 12:00,35.21,86.91,5.65,43.56,516.66,0.873,0.861,1.343,0.404,0.458,0.020311
2019-01-01 13:00,33.34,87.62,4.93,47.47,530.1,0.832,0.875,1.333,0.402,0.439,0.007943
2019-01-01 14:00,35.37,89.65,4.65,41.44,552.8,1.094,0.896,1.341,0.404,0.432,0.004916
2019-01-01 15:00,32.84,89.31,5.55,41.26,531.03,1.203,0.779,1.294,0.403,0.339,0.018204
2019-01-01 16:00,33.92,92.29,6.02,44.07,473.87,1.323,0.703,1.277,0.395,0.209,0.030303
2019-01-01 17:00,34.07,86.04,4.3,39.72,525.07,1.517,0.587,1.203,0.403,0.124,0.002428
2019-01-01 18:00,35.56,82.87,5.23,43.15,494.14,1.657,0.456,1.104,0.397,0.0,0.012099
2019-01-01 19:00,34.62,89.17,3.17,40.0,0.0,1.657,0.265,0.807,0.397,0.0,5e-06
2019-01-01 20:00,33.36,86.15,3.57,45.38,0.0,1.541,0.165,0.53,0.402,0.0,0.000202
2019-01-01 21:00,34.2,89.2,4.88,48.58,0.0,1.253,0.092,0.404,0.407,0.0,0.007322
2019-01-01 22:00,34.33,92.38,3.63,48.89,0.0,1.007,0.09,0.267,0.396,0.0,0.000275
