timestamp,hour,month,day_of_week,residential_load_MW,commercial_load_MW,industrial_load_MW,critical_load_MW,total_load_MW,solar_MW,wind_MW,thermal_MW,grid_import_MW,grid_export_MW,avg_voltage_pu,min_voltage_pu,max_voltage_pu,frequency_Hz,feeder_losses_kW,power_factor,grid_mode,outage_flag,undervoltage_flag,overload_flag,anomaly_label
2025-01-01 00:00:00,0,1,2,7.875,0.7,4.91,3.22,17.063,0.0,2.604,12.0,0.0,13.523,1.0206,1.0001,1.0423,50.04,27.289,0.9698,grid_connected,0,0,0,normal
2025-01-01 01:00:00,1,1,2,7.875,0.7,4.923,3.22,16.451,0.0,4.161,12.0,0.0,13.536,1.0206,1.0001,1.0464,50.005,98.841,0.9885,grid_connected,0,0,0,normal
2025-01-01 02:00:00,2,1,2,7.881,0.701,4.949,3.22,17.031,0.0,3.202,12.0,0.0,13.543,1.0199,1.0001,1.0388,50.034,48.559,0.9821,grid_connected,0,0,0,normal
2025-01-01 03:00:00,3,1,2,7.933,0.704,4.997,3.22,16.586,0.0,5.699,10.887,0.0,12.579,1.0233,1.0001,1.0657,50.004,211.149,0.9854,grid_connected,0,0,0,normal
2025-01-01 04:00:00,4,1,2,8.207,0.716,5.077,3.22,17.267,0.0,5.031,12.0,0.0,13.677,1.0224,1.0001,1.0554,50.003,153.93,0.9852,grid_connected,0,0,0,normal
2025-01-01 05:00:00,5,1,2,9.034,0.753,5.199,3.22,18.25,0.0,2.29,12.0,0.0,13.632,1.0195,1.0001,1.0404,50.036,18.146,0.8966,grid_connected,0,0,0,normal
2025-01-01 06:00:00,6,1,2,10.328,0.852,5.364,3.22,20.281,0.0,4.032,12.0,0.0,13.899,1.0187,1.0001,1.0421,50.002,79.781,0.9644,grid_connected,0,0,0,normal
2025-01-01 07:00:00,7,1,2,11.025,1.089,5.564,3.22,20.673,3.722,5.431,11.52,0.0,13.924,1.0248,0.9993,1.0827,50.018,501.952,0.9623,grid_connected,0,0,0,normal
2025-01-01 08:00:00,8,1,2,10.328,1.576,5.779,3.22,20.444,6.087,2.016,12.0,0.0,14.248,1.0232,1.0001,1.0843,50.017,390.924,0.9618,grid_connected,0,0,0,normal
2025-01-01 09:00:00,9,1,2,9.034,2.442,5.974,3.22,21.215,8.579,1.366,11.27,0.0,13.841,1.0251,0.9947,1.108,50.036,649.603,0.944,grid_connected,0,0,0,normal
2025-01-01 10:00:00,10,1,2,8.207,3.758,6.111,3.22,21.349,12.684,3.588,5.077,0.0,8.477,1.0319,0.8765,1.2145,50.018,2159.446,0.8648,grid_connected,0,1,0,voltage_sag
2025-01-01 11:00:00,11,1,2,7.933,5.436,6.16,3.22,22.168,12.167,5.598,4.404,0.0,8.233,1.032,0.8641,1.2183,50.02,2521.819,0.8513,grid_connected,0,1,0,voltage_sag
2025-01-01 12:00:00,12,1,2,7.886,7.174,6.111,3.22,24.872,13.44,1.806,9.627,0.0,13.121,1.0285,0.8845,1.2089,50.029,1899.921,0.8628,grid_connected,0,1,0,voltage_sag
2025-01-01 13:00:00,13,1,2,7.901,8.509,5.974,3.22,24.965,11.565,4.334,9.066,0.0,12.632,1.0307,0.8858,1.2105,50.012,1978.486,0.8676,grid_connected,0,1,0,voltage_sag
2025-01-01 14:00:00,14,1,2,7.985,9.013,5.779,3.22,25.785,12.164,5.54,8.081,0.0,12.198,1.0316,0.8635,1.2151,50.038,2431.915,0.8472,grid_connected,0,1,0,voltage_sag
2025-01-01 15:00:00,15,1,2,8.247,8.509,5.564,3.22,25.192,7.25,3.602,12.0,0.0,15.041,1.0232,0.9913,1.1072,50.014,710.907,0.9349,grid_connected,0,0,0,normal
2025-01-01 16:00:00,16,1,2,8.887,7.174,5.364,3.22,25.257,4.725,0.991,12.0,0.0,14.472,1.0215,1.0001,1.0587,50.013,154.683,0.9377,grid_connected,0,0,0,wind_lull
2025-01-01 17:00:00,17,1,2,10.077,5.436,5.199,3.22,24.357,1.602,6.014,12.0,0.0,14.565,1.0222,1.0001,1.0683,50.022,320.128,0.9586,grid_connected,0,0,0,normal
2025-01-01 18:00:00,18,1,2,11.712,3.758,5.077,3.22,24.287,0.0,6.428,12.0,0.0,14.469,1.0209,1.0001,1.0634,50.031,237.703,0.9568,grid_connected,0,0,0,normal
2025-01-01 19:00:00,19,1,2,13.231,2.442,4.997,3.22,23.84,0.0,4.285,12.0,0.0,14.257,1.0202,1.0001,1.0465,50.014,83.737,0.9299,grid_connected,0,0,0,normal
2025-01-01 20:00:00,20,1,2,13.86,1.576,4.949,3.22,23.772,0.0,3.971,12.0,0.0,14.234,1.0191,1.0001,1.0454,50.019,68.42,0.9153,grid_connected,0,0,0,normal
2025-01-01 21:00:00,21,1,2,13.231,1.089,4.923,3.22,22.25,0.0,2.344,12.0,0.0,14.029,1.0195,1.0001,1.0459,50.01,17.854,0.4855,grid_connected,0,0,0,normal
2025-01-01 22:00:00,22,1,2,11.712,0.852,4.91,3.22,20.585,0.0,4.064,12.0,0.0,13.929,1.0184,1.0001,1.0418,50.032,80.683,0.962,grid_connected,0,0,0,normal
2025-01-01 23:00:00,23,1,2,10.077,0.753,4.904,3.22,19.113,0.0,4.855,12.0,0.0,13.84,1.0211,1.0001,1.0551,50.008,133.633,0.9779,grid_connected,0,0,0,normal
2025-01-02 00:00:00,0,1,3,7.875,0.7,4.91,3.22,16.325,0.0,4.301,12.0,0.0,13.533,1.0213,1.0001,1.0485,50.014,107.779,0.9889,grid_connected,0,0,0,normal
2025-01-02 01:00:00,1,1,3,7.875,0.7,4.923,3.22,16.875,0.0,4.774,12.0,0.0,13.62,1.0221,1.0001,1.0532,50.022,137.0,0.9867,grid_connected,0,0,0,normal
2025-01-02 02:00:00,2,1,3,7.881,0.701,4.949,3.22,17.254,0.0,3.933,12.0,0.0,13.6,1.0204,1.0001,1.0477,50.028,83.022,0.9847,grid_connected,0,0,0,normal
2025-01-02 03:00:00,3,1,3,7.933,0.704,4.997,3.22,16.871,0.0,3.11,12.0,0.0,13.523,1.0197,1.0001,1.0379,50.012,45.196,0.9825,grid_connected,0,0,0,normal
2025-01-02 04:00:00,4,1,3,8.207,0.716,5.077,3.22,17.664,0.0,4.567,12.0,0.0,13.679,1.0204,1.0001,1.0488,50.015,120.037,0.9838,grid_connected,0,0,0,normal
2025-01-02 05:00:00,5,1,3,9.034,0.753,5.199,3.22,18.066,0.0,2.046,12.0,0.0,13.609,1.0186,1.0001,1.0393,50.036,13.607,0.8187,grid_connected,0,0,0,normal
2025-01-02 06:00:00,6,1,3,10.328,0.852,5.364,3.22,20.219,0.0,4.613,12.0,0.0,13.928,1.0209,1.0001,1.0501,50.028,113.497,0.9712,grid_connected,0,0,0,normal
2025-01-02 07:00:00,7,1,3,11.025,1.089,5.564,3.22,20.599,3.413,4.458,12.0,0.0,14.226,1.0249,1.0001,1.075,50.001,350.597,0.9683,grid_connected,0,0,0,normal
2025-01-02 08:00:00,8,1,3,10.328,1.576,5.779,3.22,21.502,6.723,4.81,9.969,0.0,12.791,1.0244,0.9899,1.1132,50.003,849.474,0.9405,grid_connected,0,0,0,normal
2025-01-02 09:00:00,9,1,3,9.034,2.442,5.974,3.22,21.079,10.707,3.324,7.048,0.0,9.545,1.0514,0.9063,1.2202,50.006,1584.467,0.8993,grid_connected,0,1,0,voltage_sag
2025-01-02 10:00:00,10,1,3,8.207,3.758,6.111,3.22,20.839,10.985,3.319,6.536,0.0,9.52,1.0284,0.9639,1.1756,50.006,1545.805,0.9006,grid_connected,0,0,0,normal
2025-01-02 11:00:00,11,1,3,7.933,5.436,6.16,3.22,23.401,11.697,2.829,8.876,0.0,12.031,1.0283,0.8965,1.2028,50.031,1692.594,0.8808,grid_connected,0,1,0,voltage_sag
2025-01-02 12:00:00,12,1,3,7.886,7.174,6.111,3.22,24.293,14.608,2.004,7.681,0.0,11.556,1.0287,0.8686,1.2079,50.028,2257.396,0.8467,grid_connected,0,1,0,voltage_sag
2025-01-02 13:00:00,13,1,3,7.901,8.509,5.974,3.22,25.365,11.752,3.415,10.198,0.0,13.623,1.029,0.8916,1.2081,50.011,1812.021,0.8719,grid_connected,0,1,0,voltage_sag
2025-01-02 14:00:00,14,1,3,7.985,9.013,5.779,3.22,26.53,9.384,4.725,12.0,0.0,15.054,1.0494,0.9126,1.2146,50.038,1461.469,0.8962,grid_connected,0,1,0,voltage_sag
2025-01-02 15:00:00,15,1,3,8.247,8.509,5.564,3.22,25.332,8.964,3.846,12.0,0.0,15.133,1.0325,0.9769,1.1557,50.009,1091.091,0.917,grid_connected,0,0,0,normal
2025-01-02 16:00:00,16,1,3,8.887,7.174,5.364,3.22,25.123,5.733,2.828,12.0,0.0,14.724,1.0225,1.0,1.0781,50.01,401.543,0.9478,grid_connected,0,0,0,normal
2025-01-02 17:00:00,17,1,3,10.077,5.436,5.199,3.22,23.364,1.681,4.626,12.0,0.0,14.336,1.0221,1.0001,1.0603,50.021,199.091,0.962,grid_connected,0,0,0,normal
2025-01-02 18:00:00,18,1,3,11.712,3.758,5.077,3.22,24.304,0.0,2.664,12.0,0.0,14.239,1.0181,1.0,1.0467,50.005,23.889,0.5171,grid_connected,0,0,0,normal
2025-01-02 19:00:00,19,1,3,13.231,2.442,4.997,3.22,23.902,0.0,4.15,12.0,0.0,14.256,1.0196,1.0001,1.046,50.017,76.743,0.9229,grid_connected,0,0,0,normal
2025-01-02 20:00:00,20,1,3,13.86,1.576,4.949,3.22,23.694,0.0,2.332,12.0,0.0,14.172,1.0174,1.0,1.0455,50.017,18.039,0.2359,grid_connected,0,0,0,normal
2025-01-02 21:00:00,21,1,3,13.231,1.089,4.923,3.22,22.018,0.0,2.792,12.0,0.0,14.016,1.0165,1.0001,1.0415,50.007,27.751,0.8036,grid_connected,0,0,0,normal
2025-01-02 22:00:00,22,1,3,11.712,0.852,4.91,3.22,20.377,0.0,3.106,12.0,0.0,13.866,1.0202,1.0001,1.0432,50.026,38.746,0.9289,grid_connected,0,0,0,normal
2025-01-02 23:00:00,23,1,3,10.077,0.753,4.904,3.22,18.852,0.0,5.939,12.0,0.0,13.907,1.0229,1.0001,1.0629,50.002,220.614,0.9789,grid_connected,0,0,0,normal
2025-01-03 00:00:00,0,1,4,7.875,0.7,4.91,3.22,16.661,0.0,3.333,12.0,0.0,13.513,1.0209,1.0001,1.0415,50.018,54.889,0.9859,grid_connected,0,0,0,normal
2025-01-03 01:00:00,1,1,4,7.875,0.7,4.923,3.22,16.647,0.0,4.282,12.0,0.0,13.563,1.0208,1.0001,1.0475,50.022,105.476,0.9877,grid_connected,0,0,0,normal
2025-01-03 02:00:00,2,1,4,7.881,0.701,4.949,3.22,17.051,0.0,3.049,12.0,0.0,13.539,1.0192,1.0001,1.0375,50.013,42.483,0.98,grid_connected,0,0,0,normal
2025-01-03 03:00:00,3,1,4,7.933,0.704,4.997,3.22,17.127,0.0,1.983,12.0,0.0,13.515,1.0197,1.0001,1.0393,50.035,12.908,0.884,grid_connected,0,0,0,normal
2025-01-03 04:00:00,4,1,4,8.207,0.716,5.077,3.22,17.347,0.0,2.734,12.0,0.0,13.555,1.0191,1.0001,1.0425,50.023,30.892,0.9695,grid_connected,0,0,0,normal
2025-01-03 05:00:00,5,1,4,9.034,0.753,5.199,3.22,18.138,0.0,1.081,12.0,0.0,12.554,1.019,1.0001,1.0411,50.008,6.882,0.8638,grid_connected,0,0,0,normal
2025-01-03 06:00:00,6,1,4,10.328,0.852,5.364,3.22,19.583,0.0,3.566,12.0,0.0,13.807,1.0195,1.0001,1.0452,50.011,58.452,0.963,grid_connected,0,0,0,normal
2025-01-03 07:00:00,7,1,4,11.025,1.089,5.564,3.22,21.045,3.664,4.003,12.0,0.0,14.242,1.0238,1.0001,1.0728,50.02,325.722,0.9672,grid_connected,0,0,0,normal
2025-01-03 08:00:00,8,1,4,10.328,1.576,5.779,3.22,20.323,7.088,6.128,7.107,0.0,9.985,1.0284,0.9743,1.143,50.023,1203.124,0.9277,grid_connected,0,0,0,normal
2025-01-03 09:00:00,9,1,4,9.034,2.442,5.974,3.22,20.506,10.84,1.759,7.906,0.0,10.341,1.0535,0.9573,1.1954,50.028,1205.362,0.9191,grid_connected,0,0,0,normal
2025-01-03 10:00:00,10,1,4,8.207,3.758,6.111,3.22,20.679,12.755,0.639,7.286,0.0,10.08,1.0292,0.9365,1.1858,50.028,1481.791,0.8945,grid_connected,0,0,0,wind_lull
2025-01-03 11:00:00,11,1,4,7.933,5.436,6.16,3.22,22.274,14.441,5.297,2.537,0.0,7.056,1.0317,0.8513,1.2092,50.017,3140.78,0.8198,grid_connected,0,1,0,voltage_sag
2025-01-03 12:00:00,12,1,4,7.886,7.174,6.111,3.22,24.679,12.588,5.208,6.883,0.0,10.908,1.0328,0.8664,1.2161,50.037,2498.515,0.8457,grid_connected,0,1,0,voltage_sag
2025-01-03 13:00:00,13,1,4,7.901,8.509,5.974,3.22,26.133,11.53,6.624,7.979,0.0,12.18,1.0331,0.8632,1.2171,50.018,2552.219,0.8444,grid_connected,0,1,0,voltage_sag
2025-01-03 14:00:00,14,1,4,7.985,9.013,5.779,3.22,25.531,10.515,4.496,10.519,0.0,13.919,1.0299,0.9441,1.1879,50.011,1659.532,0.8863,grid_connected,0,0,0,normal
2025-01-03 15:00:00,15,1,4,8.247,8.509,5.564,3.22,25.481,8.074,1.37,12.0,0.0,14.91,1.0216,0.9973,1.0986,50.037,540.822,0.9349,grid_connected,0,0,0,normal
2025-01-03 16:00:00,16,1,4,8.887,7.174,5.364,3.22,24.513,4.766,4.222,12.0,0.0,14.723,1.0231,0.9962,1.0832,50.022,448.504,0.9512,grid_connected,0,0,0,normal
2025-01-03 17:00:00,17,1,4,10.077,5.436,5.199,3.22,24.556,1.968,5.128,12.0,0.0,14.522,1.0225,1.0001,1.0668,50.004,260.097,0.9578,grid_connected,0,0,0,normal
2025-01-03 18:00:00,18,1,4,11.712,3.758,5.077,3.22,23.271,0.0,4.99,12.0,0.0,14.245,1.0198,1.0001,1.0487,50.01,127.68,0.953,grid_connected,0,0,0,normal
2025-01-03 19:00:00,19,1,4,13.231,2.442,4.997,3.22,24.526,0.0,4.476,12.0,0.0,14.334,1.02,1.0001,1.0469,50.03,92.464,0.9275,grid_connected,0,0,0,normal
2025-01-03 20:00:00,20,1,4,13.86,1.576,4.949,3.22,23.272,0.0,2.577,12.0,0.0,14.135,1.0192,1.0001,1.0466,50.01,22.13,0.5705,grid_connected,0,0,0,normal
2025-01-03 21:00:00,21,1,4,13.231,1.089,4.923,3.22,22.16,0.0,6.188,12.0,0.0,14.245,1.023,1.0001,1.0652,50.028,225.505,0.9665,grid_connected,0,0,0,normal
2025-01-03 22:00:00,22,1,4,11.712,0.852,4.91,3.22,20.89,0.0,2.484,12.0,0.0,13.897,1.0167,1.0001,1.0405,50.029,20.955,0.7656,grid_connected,0,0,0,normal
2025-01-03 23:00:00,23,1,4,10.077,0.753,4.904,3.22,19.24,0.0,3.394,12.0,0.0,13.765,1.0193,1.0001,1.0446,50.034,51.752,0.9628,grid_connected,0,0,0,normal
2025-01-04 00:00:00,0,1,5,7.875,0.665,4.91,3.22,16.505,0.0,2.455,12.0,0.0,13.464,1.019,1.0001,1.0416,50.034,23.866,0.9735,grid_connected,0,0,0,normal
2025-01-04 01:00:00,1,1,5,7.875,0.665,4.923,3.22,16.425,0.0,4.451,11.974,0.0,13.527,1.0217,1.0001,1.0502,50.018,116.938,0.9885,grid_connected,0,0,0,normal
2025-01-04 02:00:00,2,1,5,7.881,0.666,4.949,3.22,16.412,0.0,3.414,12.0,0.0,13.492,1.0216,1.0001,1.0432,50.02,59.108,0.9878,grid_connected,0,0,0,normal
2025-01-04 03:00:00,3,1,5,7.933,0.669,4.997,3.22,17.203,0.0,3.044,12.0,0.0,13.553,1.0189,1.0001,1.0375,50.018,42.027,0.9784,grid_connected,0,0,0,normal
2025-01-04 04:00:00,4,1,5,8.207,0.68,5.077,3.22,17.46,0.0,1.807,12.0,0.0,13.545,1.0183,1.0001,1.0384,50.006,10.215,0.7044,grid_connected,0,0,0,normal
2025-01-04 05:00:00,5,1,5,9.034,0.715,5.199,3.22,18.706,0.0,3.582,12.0,0.0,13.723,1.0191,1.0001,1.0399,50.005,61.413,0.9721,grid_connected,0,0,0,normal
2025-01-04 06:00:00,6,1,5,10.328,0.81,5.364,3.22,19.725,0.0,3.67,12.0,0.0,13.825,1.0197,1.0001,1.0455,50.001,62.835,0.9637,grid_connected,0,0,0,normal
2025-01-04 07:00:00,7,1,5,11.025,1.034,5.564,3.22,21.45,3.377,1.839,12.0,0.0,14.062,1.0206,1.0001,1.0529,50.035,124.724,0.9643,grid_connected,0,0,0,normal
2025-01-04 08:00:00,8,1,5,10.328,1.497,5.779,3.22,20.445,6.95,1.859,11.637,0.0,13.988,1.0232,0.9974,1.0937,50.003,481.235,0.9565,grid_connected,0,0,0,normal
2025-01-04 09:00:00,9,1,5,9.034,2.32,5.974,3.22,20.188,10.048,4.966,5.174,0.0,8.08,1.0323,0.8994,1.2105,50.018,1808.798,0.8899,grid_connected,0,1,0,voltage_sag
2025-01-04 10:00:00,10,1,5,8.207,3.57,6.111,3.22,21.406,12.01,4.531,4.865,0.0,8.288,1.033,0.8754,1.2166,50.037,2210.426,0.8653,grid_connected,0,1,0,voltage_sag
2025-01-04 11:00:00,11,1,5,7.933,5.165,6.16,3.22,22.893,12.514,4.794,5.584,0.0,9.407,1.0302,0.8687,1.2127,50.001,2387.469,0.8531,grid_connected,0,1,0,voltage_sag
2025-01-04 12:00:00,12,1,5,7.886,6.815,6.111,3.22,24.298,14.139,4.531,5.628,0.0,9.965,1.0315,0.8576,1.2128,50.013,2781.183,0.8302,grid_connected,0,1,0,voltage_sag
2025-01-04 13:00:00,13,1,5,7.901,8.083,5.974,3.22,24.891,13.975,5.313,5.603,0.0,10.172,1.0311,0.855,1.2122,50.017,2942.735,0.8235,grid_connected,0,1,0,voltage_sag
2025-01-04 14:00:00,14,1,5,7.985,8.562,5.779,3.22,24.799,10.749,2.843,11.207,0.0,14.053,1.0486,0.9142,1.2127,50.033,1415.075,0.8972,grid_connected,0,1,0,voltage_sag
2025-01-04 15:00:00,15,1,5,8.247,8.083,5.564,3.22,24.942,8.943,5.823,10.176,0.0,13.096,1.0504,0.8956,1.2231,50.031,1669.832,0.8923,grid_connected,0,1,0,voltage_sag
2025-01-04 16:00:00,16,1,5,8.887,6.815,5.364,3.22,24.087,4.871,2.844,12.0,0.0,14.529,1.0213,0.9998,1.071,50.028,316.001,0.9545,grid_connected,0,0,0,normal
2025-01-04 17:00:00,17,1,5,10.077,5.165,5.199,3.22,23.211,1.582,2.761,12.0,0.0,14.182,1.0213,1.0001,1.043,50.015,70.703,0.941,grid_connected,0,0,0,normal
2025-01-04 18:00:00,18,1,5,11.712,3.57,5.077,3.22,24.21,0.0,2.551,12.0,0.0,14.228,1.0177,1.0,1.0463,50.019,21.732,0.4226,grid_connected,0,0,0,normal
2025-01-04 19:00:00,19,1,5,13.231,2.32,4.997,3.22,23.759,0.0,3.082,12.0,0.0,14.198,1.0191,1.0001,1.0422,50.008,34.532,0.7887,grid_connected,0,0,0,normal
