Day,Hour,Converged,V_650_pu,V_632_pu,V_633_pu,V_645_pu,V_646_pu,V_671HV_pu,V_684HV_pu,V_692HV_pu,V_675_pu,V_680_pu,V_611_pu,V_634_pu,V_671_pu,V_684_pu,V_692_pu,Res_kW,Com_kW,Ind_kW,Crit_kW,Total_Load_kW,Solar_kW,Wind_kW,Total_DER_kW,Solar_Irr_pu,Net_Import_kW,Loss_kW,L_Main_kW,L_671_kW,L_684_kW,L_692_kW,L_675_kW,L_680_kW
1,0,1,0.99477,0.98953,0.98828,0.98953,0.98953,0.98678,0.98664,0.98578,0.98578,0.98802,0.98664,0.9795,0.97592,0.98429,0.96089,582.01,81.04,536.7,400.0,1599.75,0.1,534.69,534.79,0.0,1064.96,16.404,359.66,163.19,26.2,134.88,0.0,178.03
1,1,1,0.99508,0.99026,0.98913,0.99026,0.99026,0.9877,0.98756,0.9867,0.9867,0.98915,0.98756,0.98116,0.97639,0.98527,0.96184,529.51,78.88,559.27,400.0,1567.66,0.1,625.69,625.79,0.0,941.87,15.382,318.38,139.83,25.55,134.89,0.0,208.29
1,2,1,0.99564,0.9915,0.99057,0.9915,0.9915,0.98921,0.98906,0.98822,0.98822,0.99079,0.98906,0.98401,0.97845,0.98668,0.96339,437.53,82.2,533.58,400.0,1453.31,0.1,680.97,681.07,0.0,772.24,13.287,261.15,113.87,26.7,134.87,0.0,226.66
1,3,1,0.9956,0.99141,0.9905,0.99141,0.99141,0.98902,0.98888,0.98803,0.98803,0.99062,0.98888,0.98413,0.97764,0.98659,0.9632,425.26,78.84,563.84,400.0,1467.94,0.1,688.24,688.34,0.0,779.6,13.634,263.73,120.55,25.61,134.86,0.0,229.07
1,4,1,0.99552,0.9912,0.9903,0.9912,0.9912,0.98867,0.98853,0.98768,0.98768,0.99013,0.98853,0.98394,0.97743,0.98625,0.96284,423.72,78.69,556.47,400.0,1458.88,0.1,631.42,631.52,0.0,827.36,13.726,279.67,136.93,25.54,134.87,0.0,210.19
1,5,1,0.99494,0.98995,0.98894,0.98995,0.98995,0.98697,0.9868,0.98597,0.98597,0.98834,0.9868,0.98183,0.97451,0.98401,0.96109,473.13,96.36,614.71,400.0,1584.2,24.0,591.45,615.45,0.02,968.75,16.15,335.11,175.42,31.14,134.71,0.16,196.9
1,6,1,0.99326,0.98636,0.9849,0.98636,0.98636,0.98237,0.98209,0.98139,0.98142,0.9835,0.98209,0.97461,0.96779,0.97749,0.95638,678.04,159.8,713.32,400.0,1951.16,120.0,483.99,603.99,0.1,1347.17,24.572,490.85,260.85,51.01,130.88,4.0,161.16
1,7,1,0.99113,0.98201,0.98009,0.98201,0.98201,0.97674,0.9762,0.97592,0.97615,0.97774,0.9762,0.96652,0.95865,0.96717,0.95076,884.72,315.58,874.17,400.0,2474.47,360.0,426.23,786.23,0.3,1688.24,38.727,652.8,350.94,98.83,98.86,35.99,141.94
1,8,1,0.9896,0.97911,0.97699,0.97911,0.97911,0.97288,0.97199,0.97249,0.97326,0.97373,0.97199,0.96197,0.95162,0.95732,0.94738,973.2,516.38,1017.31,400.0,2906.89,660.0,361.79,1021.79,0.55,1885.1,50.857,729.12,395.83,158.87,13.13,120.9,120.5
1,9,1,0.98982,0.97991,0.97817,0.97991,0.97991,0.97348,0.97233,0.97362,0.97504,0.97423,0.97233,0.96588,0.95095,0.95321,0.94848,801.17,673.38,1076.37,400.0,2950.92,900.0,316.7,1216.7,0.75,1734.22,50.17,648.82,374.57,205.84,90.27,224.67,105.49
1,10,1,0.98984,0.98032,0.9787,0.98032,0.98032,0.97404,0.97271,0.97467,0.97672,0.97477,0.97271,0.96725,0.95041,0.95075,0.9495,747.44,774.41,1127.69,400.0,3049.54,1080.0,313.48,1393.48,0.9,1656.06,51.775,580.32,324.76,235.83,188.45,323.29,104.42
1,11,1,0.99032,0.9816,0.98001,0.9816,0.9816,0.97604,0.97464,0.97697,0.9794,0.97693,0.97464,0.96883,0.95348,0.95142,0.95184,731.8,817.21,1080.93,400.0,3029.94,1176.0,377.24,1553.24,0.98,1476.7,48.928,490.56,241.13,249.36,248.07,383.21,125.64
1,12,1,0.99029,0.98158,0.97991,0.98158,0.98158,0.97621,0.97487,0.97723,0.97976,0.97709,0.97487,0.96811,0.95343,0.95253,0.9521,771.27,785.8,1091.21,400.0,3048.28,1200.0,373.34,1573.34,1.0,1474.94,49.019,483.69,220.98,240.23,263.78,398.95,124.34
1,13,1,0.99059,0.98225,0.9806,0.98225,0.98225,0.9772,0.97587,0.97814,0.98056,0.97832,0.97587,0.96895,0.95495,0.95373,0.95303,762.37,778.02,1067.9,400.0,3008.29,1176.0,473.69,1649.69,0.98,1358.6,46.616,452.79,193.41,238.43,248.08,383.21,157.73
1,14,1,0.99049,0.98191,0.98033,0.98191,0.98191,0.97648,0.97514,0.97719,0.97933,0.97768,0.97514,0.96917,0.9537,0.95283,0.95206,730.34,784.47,1091.84,400.0,3006.65,1104.0,511.61,1615.61,0.92,1391.04,47.17,484.68,235.88,239.97,202.8,337.81,170.34
1,15,1,0.99016,0.98094,0.97928,0.98094,0.98094,0.97506,0.97378,0.97535,0.97698,0.97634,0.97378,0.96749,0.95215,0.95246,0.95017,769.79,750.63,1096.03,400.0,3016.45,960.0,542.13,1502.13,0.8,1514.32,48.598,561.73,298.94,229.34,120.68,255.57,180.49
1,16,1,0.98981,0.97984,0.97798,0.97984,0.97984,0.97361,0.9724,0.97334,0.97425,0.97498,0.9724,0.96478,0.95189,0.95228,0.9482,858.85,708.94,1039.31,400.0,3007.1,720.0,581.4,1301.4,0.6,1705.7,50.548,658.84,365.02,216.39,9.59,143.86,193.55
1,17,1,0.98914,0.9781,0.97575,0.9781,0.9781,0.97176,0.97069,0.97101,0.97132,0.97315,0.97069,0.95913,0.95154,0.95288,0.94594,1072.44,628.04,968.32,400.0,3068.8,420.0,588.56,1008.56,0.35,2060.24,56.071,775.94,408.26,191.73,84.65,48.98,195.93
1,18,1,0.98923,0.97817,0.97539,0.97817,0.97817,0.97269,0.97185,0.97171,0.97173,0.97421,0.97185,0.9557,0.95482,0.95796,0.94662,1263.34,488.8,860.05,400.0,3012.19,120.0,644.65,764.65,0.1,2247.54,55.074,789.11,356.4,150.53,129.89,4.0,214.58
