Timestamp,Date,Hour,Temperature_C,Humidity_pct,Wind_Speed_ms,Cloud_Cover_pct,Solar_Irradiance_Wm2,Solar_MW,Wind_MW,Total_Load_MW,Grid_Import_MW,Grid_Import_MVAR,V_Sub_650,V_Split_632,V_Solar_633,V_Wind_675,V_Res_634,V_Ind_671,V_Com_684,V_Crit_692,V_Min_pu,V_Max_pu,L_Main_650_632_pct,L_IndWind_632_671_pct,L_Solar_632_633_pct,Max_Line_Loading_pct,Total_Loss_MW,Total_Loss_MVAR
2022-01-01 00:00:00,2022-01-01,0,31.28,78.44,3.94,48.5,0.0,0.0,0.000921,1.4512,1.4852,0.5299,0.98837,0.98286,0.98286,0.97736,0.97091,0.97736,0.97536,0.97288,0.95383,0.99956,20.7,20.7,0.0,20.7,0.0324,0.0939
2022-01-01 01:00:00,2022-01-01,1,30.51,71.98,3.49,46.83,0.0,0.0,0.000127,1.2015,1.2262,0.4253,0.99056,0.98604,0.98604,0.98152,0.97669,0.98152,0.97994,0.97801,0.9596,0.99964,17.04,17.04,0.0,17.04,0.0217,0.0639
2022-01-01 02:00:00,2022-01-01,2,30.58,74.08,3.64,42.98,0.0,0.0,0.000283,1.2192,1.2443,0.433,0.9904,0.98581,0.98581,0.98122,0.97633,0.98122,0.97961,0.97765,0.95845,0.99964,17.29,17.29,0.0,17.29,0.0224,0.0664
2022-01-01 03:00:00,2022-01-01,3,31.76,69.28,4.33,45.1,0.0,0.0,0.002602,1.292,1.3175,0.462,0.98979,0.98492,0.98492,0.98006,0.97471,0.98006,0.97833,0.97622,0.95718,0.99962,18.33,18.33,0.0,18.33,0.0252,0.0738
2022-01-01 04:00:00,2022-01-01,4,30.13,70.89,2.43,45.77,0.0,0.0,0.0,1.4901,1.5243,0.5423,0.9881,0.98245,0.98245,0.97681,0.97089,0.97681,0.97495,0.97266,0.95406,0.99955,21.24,21.24,0.0,21.24,0.0321,0.0946
2022-01-01 05:00:00,2022-01-01,5,32.99,69.68,4.5,50.23,0.0,0.0,0.002339,2.1876,2.2502,0.8516,0.98177,0.97333,0.97333,0.96492,0.95714,0.96491,0.96248,0.9596,0.94043,0.99931,31.59,31.59,0.0,31.59,0.0656,0.1958
2022-01-01 06:00:00,2022-01-01,6,32.27,72.24,2.47,45.62,683.03,0.0,0.0,2.9333,3.039,1.233,0.9743,0.96271,0.96271,0.95118,0.94059,0.95118,0.94783,0.9441,0.92073,0.99903,43.08,43.08,0.0,43.08,0.1199,0.3573
2022-01-01 07:00:00,2022-01-01,7,32.82,74.55,4.34,47.45,702.78,0.15613,0.002644,3.4436,3.5292,1.4974,0.96927,0.95566,0.95569,0.94208,0.93053,0.94207,0.93817,0.93425,0.90943,0.99884,50.36,50.63,0.28,50.63,0.1601,0.4802
2022-01-01 08:00:00,2022-01-01,8,31.42,76.49,3.44,43.28,679.48,0.301817,9.6e-05,3.6321,3.6507,1.5848,0.96767,0.9535,0.9536,0.93918,0.92795,0.93918,0.93516,0.93143,0.90824,0.99879,52.29,53.27,1.04,53.27,0.172,0.5183
2022-01-01 09:00:00,2022-01-01,9,33.35,74.33,4.98,51.47,682.31,0.400155,0.008548,3.5246,3.4696,1.5093,0.96915,0.95564,0.95582,0.94185,0.93135,0.94183,0.93791,0.93447,0.9137,0.99884,49.7,51.43,1.83,51.43,0.1576,0.4742
2022-01-01 10:00:00,2022-01-01,10,30.26,72.31,5.5,45.74,702.39,0.5296,0.017187,3.2176,3.0374,1.3221,0.97282,0.96095,0.96127,0.94852,0.93996,0.94848,0.94511,0.94231,0.92289,0.99899,43.51,46.52,3.19,46.52,0.1242,0.375
2022-01-01 11:00:00,2022-01-01,11,31.79,69.45,4.21,51.59,674.47,0.539766,0.001931,3.3726,3.2014,1.4085,0.97117,0.95862,0.95895,0.94547,0.9365,0.94546,0.94192,0.939,0.9195,0.99893,45.94,49.07,3.32,49.07,0.1379,0.4163
2022-01-01 12:00:00,2022-01-01,12,32.31,74.29,3.9,50.87,682.59,0.569122,0.000791,3.4157,3.2192,1.4288,0.97081,0.95815,0.95852,0.94481,0.9356,0.94481,0.94119,0.93819,0.91855,0.99891,46.26,49.74,3.7,49.74,0.1411,0.4243
